route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
0,2,"0","ZAJEZDNIA/MADALIŃSKIEGO - ZAJEZDNIA/MADALIŃSKIEGO","ZAJEZDNIA/MADALIŃSKIEGO - zajezdnia Madalińskiego - Hetmańska - Grunwaldzka - Bukowska - Zwierzyniecka - Dąbrowskiego - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Kórnicka - Mostowa - Zielona - Lewandowskiej - Królowej Jadwigi - Górna Wilda - zajezdnia Madalińskiego - ZAJEZDNIA/MADALIŃSKIEGO^M - kurs przez Muzeum Komunikacji",0,FFFFFF,000000
1,2,"1","JUNIKOWO - FRANOWO|FRANOWO - JUNIKOWO|FRANOWO - JUNIKOWO","JUNIKOWO - Grunwaldzka - Reymonta - Hetmańska - Żegrze - Chartowo - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Rondo Starołęka|FRANOWO - Piaśnicka - Chartowo - Żegrze - Hetmańska - Reymonta - Grunwaldzka - JUNIKOWO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|FRANOWO - Szwajcarska - Piaśnicka - Chartowo - Żegrze - Hetmańska - Reymonta - Grunwaldzka - JUNIKOWO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,D0006F,FFFFFF
2,2,"2","OGRODY - DĘBIEC|DĘBIEC - OGRODY","OGRODY - Dąbrowskiego - Kraszewskiego - Zwierzyniecka - Święty Marcin - Towarowa - Matyi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Poznań Główny, P amiątkowa^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|DĘBIEC - Górna Wilda - Matyi - Towarowa - Święty Marcin - Zwierzyniecka - Kraszewskiego - Dąbrowskiego - OGRODY^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,62B5E5,000000
3,2,"3","WILCZAK - FRANOWO|FRANOWO - WILCZAK","WILCZAK - Przełajowa - Winogrady - Pułaskiego - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Warczygłowy - Trasa Kórnicka - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Bałtyk, Rondo Now aka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Kórnicka, Os. Lecha, Rondo Starołęka|FRANOWO - Piaśnicka - Trasa Kórnicka - Warczygłowy - Jana Pawła II - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - Pułaskiego - Winogrady - Przełajowa - WILCZAK^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Piaśnicka/Rynek, Rond o Starołęka",0,6C1D45,FFFFFF
4,2,"4","OS. PIASTOWSKIE - STAROŁĘKA|STAROŁĘKA - OS. PIASTOWSKIE","OS. PIASTOWSKIE - Zamenhofa - Starołęcka - STAROŁĘKA^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|STAROŁĘKA - Zamenhofa - OS. PIASTOWSKIE^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,115740,FFFFFF
5,2,"5","UNII LUBELSKIEJ - GÓRCZYN|GÓRCZYN - UNII LUBELSKIEJ","UNII LUBELSKIEJ - Unii Lubelskiej - Żegrze - Chartowo - Trasa Kórnicka - Warczygłowy - Kórnicka - Mostowa - Zielona - Lewandowskiej - Strzelecka - Królowej Jadwigi - Górna Wilda - 28 Czerwca 1956 r. - Hetmańska - Głogowska - GÓRCZYN^F - zjazd do zajezdni Franowo przez przystanek: Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Żegrze, Rondo Starołęka, Tr augutta^H - kurs do pętli Górczyn przez przystanek: Rondo Starołęka, Traugutta, Głogowska/H etmańska^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|GÓRCZYN - Hetmańska - 28 Czerwca 1956 r. - Górna Wilda - Królowej Jadwigi - Strzelecka - Lewandowskiej - Zielona - Mostowa - Kórnicka - Warczygłowy - Trasa Kórnicka - Chartowo - Żegrze - Unii Lubelskiej - UNII LUBELSKIEJ^F - zjazd do zajezdni Franowo przez przystanek: Traugutta, Półwiejska, Wrocławska, Os.Lecha^G - zjazd do zajezdni Głogowska ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^Z - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Rondo Starołęka, Os. Czecha",0,6CC24A,000000
6,2,"6","MIŁOSTOWO - JUNIKOWO|JUNIKOWO - MIŁOSTOWO|JUNIKOWO - MIŁOSTOWO","MIŁOSTOWO - Warszawska - Jana Pawła II - Kórnicka - Mostowa - Zielona - Lewandowskiej - Strzelecka - Królowej Jadwigi - Matyi - Roosevelta - Bukowska - Grunwaldzka - JUNIKOWO^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Kórnicka, Os. Lecha, Rondo Starołęka|JUNIKOWO - Bukowska - Roosevelta - Matyi - Królowej Jadwigi - Strzelecka - Lewandowskiej - Zielona - Mostowa - Kórnicka - Jana Pawła II - Warszawska - MIŁOSTOWO^F - zjazd do zajezdni Franowo przez przystanek: Bałtyk, Poznań Główny, AWF, Wrocław ska, Kórnicka^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego, Aren a^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Bałtyk, Poznań Główny , AWF, Wrocławska, Kórnicka, Os. Lecha, Rondo Starołęka|JUNIKOWO - Grunwaldzka - Bukowska - Roosevelta - Matyi - Królowej Jadwigi - Strzelecka - Lewandowskiej - Zielona - Mostowa - Kórnicka - Jana Pawła II - Warszawska - MIŁOSTOWO^F - zjazd do zajezdni Franowo przez przystanek: Bałtyk, Poznań Główny, AWF, Wrocław ska, Kórnicka^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego, Aren a^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Bałtyk, Poznań Główny , AWF, Wrocławska, Kórnicka, Os. Lecha, Rondo Starołęka",0,009639,FFFFFF
7,2,"7","OGRODY - OS. PIASTOWSKIE|OS. PIASTOWSKIE - OGRODY","OGRODY - Dąbrowskiego - Przybyszewskiego - Reymonta - Hetmańska - Zamenhofa - OS. PIASTOWSKIE^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. PIASTOWSKIE - Hetmańska - Reymonta - Przybyszewskiego - Dąbrowskiego - OGRODY^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,003594,FFFFFF
8,2,"8","PIĄTKOWSKA - MIŁOSTOWO|MIŁOSTOWO - PIĄTKOWSKA","PIĄTKOWSKA - Bronowa - Witosa - os. Winiary - Winiarska - Wołyńska - Małopolska - al. Wielkopolska - Pułaskiego - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Warszawska - MIŁOSTOWO^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Bałtyk, Rondo Now aka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Most Teatralny, Rondo Śródka, Os. Lecha, Rondo Starołęka|MIŁOSTOWO - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - Pułaskiego - al. Wielkopolska - Małopolska - Wołyńska - Winiarska - os. Winiary - Witosa - Bronowa - PIĄTKOWSKA^F - zjazd do zajezdni Franowo przez przystanek: Rondo Śródka, Kórnicka, Os. Lecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Rondo Śródka, Kórnick a, Os. Lecha, Rondo Starołęka",0,DA291C,FFFFFF
9,2,"9","DĘBIEC - FRANOWO|FRANOWO - DĘBIEC","DĘBIEC - 28 Czerwca 1956 r. - Górna Wilda - Królowej Jadwigi - Strzelecka - Lewandowskiej - Zielona - Mostowa - Kórnicka - Warczygłowy - Trasa Kórnicka - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|FRANOWO - Piaśnicka - Trasa Kórnicka - Warczygłowy - Kórnicka - Mostowa - Zielona - Lewandowskiej - Strzelecka - Królowej Jadwigi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Os.Czecha, Rondo Żeg rze, Rondo Starołęka",0,FF671F,000000
