route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
0,3,"3_8250909^+","Zajezdnia/Madalińskiego",1,831112,0
0,3,"3_8250910^+","Zajezdnia/Madalińskiego",1,831112,0
0,3,"3_8250911^+","Zajezdnia/Madalińskiego",1,831112,0
0,3,"3_8250908^M","Zajezdnia/Madalińskiego",1,831115,0
0,4,"4_8253585^+","Zajezdnia/Madalińskiego",1,831112,0
0,4,"4_8253586^+","Zajezdnia/Madalińskiego",1,831112,0
0,4,"4_8253587^+","Zajezdnia/Madalińskiego",1,831112,0
0,4,"4_8253584^M","Zajezdnia/Madalińskiego",1,831115,0
1,1,"1_8296362^N+","Franowo",0,832737,1
1,1,"1_8296364^N+","Franowo",0,832737,1
1,1,"1_8296366^N+","Franowo",0,832737,1
1,1,"1_8296368^N+","Franowo",0,832737,1
1,1,"1_8296370^N+","Franowo",0,832737,1
1,1,"1_8296372^N+","Franowo",0,832737,1
1,1,"1_8296374^N+","Franowo",0,832737,1
1,1,"1_8296376^N+","Franowo",0,832737,1
1,1,"1_8296378^N+","Franowo",0,832737,1
1,1,"1_8296380^N+","Franowo",0,832737,1
1,1,"1_8296386^N+","Franowo",0,832737,1
1,1,"1_8296388^N+","Franowo",0,832737,1
1,1,"1_8296390^N+","Franowo",0,832737,1
1,1,"1_8296392^N+","Franowo",0,832737,1
1,1,"1_8296394^N+","Franowo",0,832737,1
1,1,"1_8296396^N+","Franowo",0,832737,1
1,1,"1_8296398^N+","Franowo",0,832737,1
1,1,"1_8296405^+","Franowo",0,832737,0
1,1,"1_8296407^+","Franowo",0,832737,0
1,1,"1_8296409^+","Franowo",0,832737,0
1,1,"1_8296415^N+","Franowo",0,832737,1
1,1,"1_8296417^N+","Franowo",0,832737,1
1,1,"1_8296419^N+","Franowo",0,832737,1
1,1,"1_8296421^N+","Franowo",0,832737,1
1,1,"1_8296423^N+","Franowo",0,832737,1
1,1,"1_8296425^N+","Franowo",0,832737,1
1,1,"1_8296427^N+","Franowo",0,832737,1
1,1,"1_8296429^N+","Franowo",0,832737,1
1,1,"1_8296435^N+","Franowo",0,832737,1
1,1,"1_8296437^N+","Franowo",0,832737,1
1,1,"1_8296439^N+","Franowo",0,832737,1
1,1,"1_8296445^N+","Franowo",0,832737,1
1,1,"1_8296447^N+","Franowo",0,832737,1
1,1,"1_8296449^N+","Franowo",0,832737,1
1,1,"1_8296451^N+","Franowo",0,832737,1
1,1,"1_8296453^N+","Franowo",0,832737,1
1,1,"1_8296455^N+","Franowo",0,832737,1
1,1,"1_8296457^N+","Franowo",0,832737,1
1,1,"1_8296459^N+","Franowo",0,832737,1
1,1,"1_8296461^N+","Franowo",0,832737,1
1,1,"1_8296463^N+","Franowo",0,832737,1
1,1,"1_8296469^N+","Franowo",0,832737,1
1,1,"1_8296481^N+","Franowo",0,832737,1
1,1,"1_8296483^N+","Franowo",0,832737,1
1,1,"1_8296485^N+","Franowo",0,832737,1
1,1,"1_8296487^N+","Franowo",0,832737,1
1,1,"1_8296493^N+","Franowo",0,832737,1
1,1,"1_8296495^N+","Franowo",0,832737,1
1,1,"1_8296497^N+","Franowo",0,832737,1
1,1,"1_8296499^N+","Franowo",0,832737,1
1,1,"1_8296501^N+","Franowo",0,832737,1
1,1,"1_8296503^N+","Franowo",0,832737,1
1,1,"1_8296505^N+","Franowo",0,832737,1
1,1,"1_8296507^N+","Franowo",0,832737,1
1,1,"1_8296509^N+","Franowo",0,832737,1
1,1,"1_8296511^N+","Franowo",0,832737,1
1,1,"1_8296517^+","Franowo",0,832737,0
1,1,"1_8296519^+","Franowo",0,832737,0
1,1,"1_8296527^N+","Franowo",0,832737,1
1,1,"1_8296529^N+","Franowo",0,832737,1
1,1,"1_8296531^N+","Franowo",0,832737,1
